"Date","Open","High","Low","Close Close price adjusted for splits.","Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.","Volume"
"May 1, 2003","602.00","678.00","593.50","636.80","636.80","18,660"
"Apr 1, 2003","643.20","650.00","590.00","599.30","599.30","3,901"
"Mar 1, 2003","670.10","707.00","619.00","648.40","648.40","24,616"
"Feb 1, 2003","664.00","694.00","642.50","672.50","672.50","14,809"
"Jan 1, 2003","610.00","660.00","605.00","658.90","658.90","3,082"
"Nov 1, 2002","572.00","602.50","565.00","581.90","581.90","9,843"
"Oct 1, 2002","570.00","602.00","559.00","571.80","571.80","2,740"
"Aug 1, 2002","521.00","578.00","516.00","565.80","565.80","18,255"
"Jul 1, 2002","528.00","540.00","519.00","524.60","524.60","2,380"
"Jun 1, 2002","544.00","572.00","538.00","537.30","537.30","15,477"
"May 1, 2002","531.00","553.00","513.00","545.90","545.90","12,224"
"Apr 1, 2002","517.70","561.60","517.70","532.50","532.50","1,521"
"Mar 1, 2002","515.00","515.70","515.00","515.70","515.70","3"
"Jan 1, 2002","490.00","490.00","466.30","465.20","465.20","651"
"Dec 1, 2001","454.00","491.00","451.00","493.00","493.00","13,723"
"Nov 1, 2001","413.00","450.00","412.20","449.30","449.30","10,087"
"Oct 1, 2001","420.50","466.00","406.00","412.50","412.50","2,413"
"Sep 1, 2001","446.80","498.00","429.00","433.30","433.30","7,593"
"Aug 1, 2001","471.00","484.00","422.00","443.00","443.00","11,355"
"Jun 1, 2001","594.00","605.90","557.50","560.10","560.10","15,773"
"May 1, 2001","597.00","639.00","596.00","603.10","603.10","14,606"
"Mar 1, 2001","609.00","609.00","554.50","555.00","555.00","19,907"
"Feb 1, 2001","598.80","614.00","588.50","610.00","610.00","12,012"
"Jan 1, 2001","604.00","640.00","596.50","601.10","601.10","4,358"
"Dec 1, 2000","609.00","629.90","598.00","609.60","609.60","18,062"
"Nov 1, 2000","578.10","609.70","574.00","605.90","605.90","12,062"
"Sep 1, 2000","588.00","614.00","557.50","578.80","578.80","21,025"
"Aug 1, 2000","587.00","610.00","559.00","586.70","586.70","13,953"
"Jul 1, 2000","548.00","595.00","539.00","580.00","580.00","3,492"
"Jun 1, 2000","538.00","575.00","525.00","565.50","565.50","30,560"
"May 1, 2000","496.00","555.00","466.00","539.40","539.40","22,741"
"Apr 1, 2000","496.50","800.00","408.00","500.00","500.00","8,546"
"Mar 1, 2000","474.00","499.80","445.00","496.40","496.40","19,033"
"Feb 1, 2000","455.00","555.00","448.00","471.70","471.70","28,001"
"Jan 1, 2000","428.00","459.00","408.00","455.00","455.00","7,739"
"Dec 1, 1999","420.50","434.00","407.10","430.20","430.20","24,376"
"Nov 1, 1999","399.10","434.00","395.50","418.80","418.80","28,775"
"Oct 1, 1999","393.00","435.00","392.00","401.20","401.20","8,663"
"Sep 1, 1999","348.50","420.00","346.00","388.90","388.90","62,678"
"Jul 1, 1999","349.00","362.00","341.50","344.00","344.00","7,877"
"Jun 1, 1999","361.50","370.50","341.50","351.00","351.00","50,917"
"May 1, 1999","354.00","366.50","346.10","365.40","365.40","24,885"
"Apr 1, 1999","358.10","367.00","346.00","354.50","354.50","8,358"
"Mar 1, 1999","380.50","381.50","355.00","359.10","359.10","40,823"
"Feb 1, 1999","348.00","388.00","347.00","381.70","381.70","50,052"
"Jan 1, 1999","363.80","365.00","342.20","346.90","346.90","12,115"
"Dec 1, 1998","354.00","366.00","341.50","364.50","364.50","33,913"
"Oct 1, 1998","354.00","356.00","334.00","336.40","336.40","8,308"
